"pig_ensembl_gene_id","pig_gene_name","pig_entrezgene_id","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name","human_entrezgene_id","cow_ensembl_gene_id","cow_gene_name","cow_entrezgene_id"
"ENSSSCG00000018069","ND2",808502,"ENSG00000198763","MT-ND2",4536,"ENSBTAG00000043571","MT-ND2",3283878
"ENSSSCG00000018075","COX1",808503,"ENSG00000198804","MT-CO1",4512,"ENSBTAG00000043561","COX1",3283879
"ENSSSCG00000018078","COX2",808504,"ENSG00000198712","MT-CO2",4513,"ENSBTAG00000043556","MT-CO2",3283880
"ENSSSCG00000018082","COX3",808507,"ENSG00000198938","MT-CO3",4514,"ENSBTAG00000043560","COX3",3283883
"ENSSSCG00000018084","ND3",808508,"ENSG00000198840","MT-ND3",4537,"ENSBTAG00000043568","MT-ND3",3283884
"ENSSSCG00000018087","ND4",808510,"ENSG00000198886","MT-ND4",4538,"ENSBTAG00000043577","MT-ND4",3283886
"ENSSSCG00000018091","ND5",808511,"ENSG00000198786","MT-ND5",4540,"ENSBTAG00000043563","ND5",3283887
"ENSSSCG00000018092","ND6",808512,"ENSG00000198695","MT-ND6",4541,"ENSBTAG00000043546","MT-ND6",3283888
"ENSSSCG00000057952","ZNF311",100524874,"ENSG00000197935","ZNF311",282890,"ENSBTAG00000008349","ZNF311",507236
"ENSSSCG00000001219","TRIM27",100523617,"ENSG00000204713","TRIM27",5987,"ENSBTAG00000000871","TRIM27",520111
"ENSSSCG00000035326","HIGD1C",110258455,"ENSG00000214511","HIGD1C",613227,"ENSBTAG00000047358","HIGD1C",100848305
"ENSSSCG00000026890","GALNT6",100520836,"ENSG00000139629","GALNT6",11226,"ENSBTAG00000017943","GALNT6",506903
"ENSSSCG00000047232","CELA1",396766,"ENSG00000139610","CELA1",1990,"ENSBTAG00000008900","CELA1",281139
"ENSSSCG00000000223","BIN2",100519772,"ENSG00000110934","BIN2",51411,"ENSBTAG00000008897","BIN2",515025
"ENSSSCG00000061033","SMAGP",102160467,"ENSG00000170545","SMAGP",57228,"ENSBTAG00000001983","SMAGP",787004
"ENSSSCG00000022674","DAZAP2",100196906,"ENSG00000183283","DAZAP2",9802,"ENSBTAG00000004349","DAZAP2",540286
"ENSSSCG00000000220","POU6F1",102158970,"ENSG00000184271","POU6F1",5463,"ENSBTAG00000016362","POU6F1",533680
"ENSSSCG00000031206","TFCP2",110258452,"ENSG00000135457","TFCP2",7024,"ENSBTAG00000019312","TFCP2",509448
"ENSSSCG00000037029","CSRNP2",106508452,"ENSG00000110925","CSRNP2",81566,"ENSBTAG00000010928","CSRNP2",516929
"ENSSSCG00000032096","LETMD1",110258454,"ENSG00000050426","LETMD1",25875,"ENSBTAG00000010924","LETMD1",514595
"ENSSSCG00000021494","CDC25A",100737380,"ENSG00000164045","CDC25A",993,"ENSBTAG00000009586","CDC25A",520188
"ENSSSCG00000016728","IGFBP1",397270,"ENSG00000146678","IGFBP1",3484,"ENSBTAG00000046768","IGFBP1",282259
"ENSSSCG00000016726","ADCY1",100624934,"ENSG00000164742","ADCY1",107,"ENSBTAG00000009520","ADCY1",281601
"ENSSSCG00000058216","IGFBP3",448812,"ENSG00000146674","IGFBP3",3486,"ENSBTAG00000003994","IGFBP3",282261
"ENSSSCG00000031144","RAMP3",397163,"ENSG00000122679","RAMP3",10268,"ENSBTAG00000020704","RAMP3",613547
